Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
ACGAM1PPpp	-854.83	141421.36	-854.83	-278089.98	276340.54
2AGPA140tipp	0.00	0.00	8.68	-10.92	28.28
EX_acser_e	NaN	NaN	NaN	NaN	NaN
2AGPA141tipp	0.00	0.00	8.68	-10.92	28.28
2AGPA160tipp	0.00	0.00	8.68	-10.92	28.28
3OAR180	-21.22	141421.36	-14.34	-277239.40	277210.72
2AGPA161tipp	0.00	0.00	8.68	-10.92	28.28
3OAR181	-21.22	141421.36	-14.34	-277239.40	277210.72
2AGPA180tipp	0.00	0.00	8.68	-10.92	28.28
3OAR40	-21.22	141421.36	-14.34	-277239.40	277210.72
2AGPA181tipp	0.00	0.00	8.68	-10.92	28.28
3OAR60	-21.22	141421.36	-14.34	-277239.40	277210.72
3OAR80	-21.22	141421.36	-14.34	-277239.40	277210.72
3OAS100	-386.00	200000.00	-382.56	-392451.45	391646.55
2AGPE120tipp	0.00	0.00	0.00	-19.60	19.60
3OAS120	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS121	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS140	-386.00	200000.00	-382.56	-392451.45	391646.55
12DGR120tipp	0.00	0.00	0.00	-19.60	19.60
12DGR140tipp	0.00	0.00	0.00	-19.60	19.60
3OAS141	-386.00	200000.00	-382.56	-392451.45	391646.55
12DGR141tipp	0.00	0.00	-0.00	-19.60	19.60
2AGPE140tipp	0.00	0.00	0.00	-19.60	19.60
12DGR160tipp	0.00	0.00	-0.00	-19.60	19.60
12DGR161tipp	0.00	0.00	0.00	-19.60	19.60
3OAS160	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS161	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS180	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS181	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS60	-386.00	200000.00	-382.56	-392451.45	391646.55
3OAS80	-386.00	200000.00	-382.56	-392451.45	391646.55
3PEPTabcpp	-854.83	141421.36	-844.43	-278099.18	276370.54
3PEPTtex	0.00	0.00	-0.00	-19.60	19.60
3UMPtex	0.00	0.00	0.00	-19.60	19.60
42A12BOOXpp	7.68	141421.36	7.68	-277247.07	277222.65
4HOXPACDtex	0.00	0.00	0.00	-19.60	19.60
4HTHRS	-854.83	141421.36	-854.83	-278089.98	276340.54
4PCP	237.53	173205.08	237.53	-339293.72	339729.00
4PCPpp	237.53	173205.08	237.53	-339293.72	339729.00
12DGR180tipp	0.00	0.00	-0.00	-19.60	19.60
12DGR181tipp	0.00	0.00	0.00	-19.60	19.60
12PPDRtex	0.00	0.00	0.00	-19.60	19.60
12PPDRtpp	0.00	0.00	0.00	-19.60	19.60
12PPDStex	0.00	0.00	0.00	-19.60	19.60
12PPDStpp	0.00	0.00	0.00	-19.60	19.60
14GLUCANabcpp	-854.83	141421.36	-853.11	-278107.86	276361.86
14GLUCANtexi	0.00	0.00	-0.00	-19.60	19.60
23CAMPtex	0.00	0.00	0.00	-19.60	19.60
23CCMPtex	0.00	0.00	0.00	-19.60	19.60
23CGMPtex	0.00	0.00	0.00	-19.60	19.60
23CUMPtex	0.00	0.00	-0.00	-19.60	19.60
23DAPPAt2pp	0.00	0.00	-17.37	-36.97	2.23
23DAPPAtex	0.00	0.00	-0.00	-19.60	19.60
23PDE2pp	237.53	141421.36	234.09	-276971.37	277439.55
23PDE4pp	237.53	141421.36	234.09	-276971.37	277439.55
4PEPTabcpp	-854.83	141421.36	-844.43	-278099.18	276370.54
4PEPTtex	0.00	0.00	-0.00	-19.60	19.60
5DGLCNR	-21.22	141421.36	-14.34	-277239.40	277210.72
5DGLCNt2rpp	0.00	0.00	0.00	-19.60	19.60
5DGLCNtex	0.00	0.00	-0.00	-19.60	19.60
5DOAN	237.53	173205.08	237.53	-339293.72	339729.00
A5PISO	0.00	141421.36	0.00	-277205.46	277205.46
AACPS1	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AACPS2	-1971.07	223606.80	-1967.63	-440295.75	436360.50
23PDE7pp	237.53	141421.36	234.09	-276971.37	277439.55
23PDE9pp	237.53	141421.36	234.09	-276971.37	277439.55
26DAHtex	0.00	0.00	0.00	-19.60	19.60
2AGPA120tipp	0.00	0.00	8.68	-10.92	28.28
AACPS3	-1971.07	223606.80	-1967.63	-440295.75	436360.50
2AGPE141tipp	0.00	0.00	-0.00	-19.60	19.60
AACPS4	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AACPS5	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ACGAM1Ptex	0.00	0.00	0.00	-19.60	19.60
AACPS6	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ACGAMK	-0.00	200000.00	1.72	-392037.48	392040.92
AACPS7	-1971.07	223606.80	-1967.63	-440295.75	436360.50
2AGPE160tipp	0.00	0.00	-0.00	-19.60	19.60
AACPS8	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AACPS9	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ACGAMT	0.00	200000.00	0.00	-392039.20	392039.20
ACGAptspp	0.00	200000.00	3.44	-392035.76	392042.64
AACTOOR	7.68	141421.36	7.68	-277247.07	277222.65
ACGAtex	0.00	0.00	-0.00	-19.60	19.60
2AGPE161tipp	0.00	0.00	0.00	-19.60	19.60
ACGK	0.00	200000.00	1.72	-392037.48	392040.92
ACGS	-0.00	200000.00	-3.44	-392042.64	392035.76
AADDGT	-0.00	200000.00	-5.16	-392044.36	392034.04
AAMYL	0.00	141421.36	-0.00	-277205.46	277205.46
ACHBS	-386.00	173205.08	-384.28	-339905.44	339136.88
ACKr	-1223.26	173205.08	-1219.81	-340740.97	338301.35
ACLS	-386.00	223606.80	-384.28	-438692.80	437924.25
ACM6PH	237.53	173205.08	240.97	-339290.28	339732.44
AAMYLpp	0.00	141421.36	-0.00	-277205.46	277205.46
AB6PGH	237.53	173205.08	237.53	-339293.72	339729.00
ABTA	0.00	200000.00	1.72	-392037.48	392040.92
ABUTD	255.59	141421.36	252.15	-276972.91	277477.21
ABUTt2pp	0.00	0.00	-8.68	-28.28	10.92
ACMAMUT	-0.00	200000.00	-5.16	-392044.36	392034.04
ACMANAptspp	0.00	200000.00	3.44	-392035.76	392042.64
ABUTtex	0.00	0.00	-0.00	-19.60	19.60
2AGPE180tipp	0.00	0.00	-0.00	-19.60	19.60
ACACCT	0.00	200000.00	0.00	-392039.20	392039.20
ACACT1r	0.00	244948.97	0.00	-480139.19	480139.19
ACACt2pp	0.00	0.00	0.00	-19.60	19.60
ACACtex	0.00	0.00	-0.00	-19.60	19.60
ACMANAtex	0.00	0.00	-0.00	-19.60	19.60
ACMUMptspp	0.00	200000.00	8.68	-392030.52	392047.89
ACMUMtex	0.00	0.00	-0.00	-19.60	19.60
ACNAMt2pp	0.00	0.00	0.00	-19.60	19.60
ACALD	18.06	173205.08	14.62	-339496.45	339565.47
ACALDtex	0.00	0.00	0.00	-19.60	19.60
ACNAMtex	0.00	0.00	-0.00	-19.60	19.60
2AGPE181tipp	0.00	0.00	-0.00	-19.60	19.60
ACNML	0.00	173205.08	0.00	-339531.25	339491.47
ACALDtpp	0.00	0.00	0.00	-19.60	19.60
ACANTHAT	0.00	200000.00	0.00	-392039.20	392039.20
ACBIPGT	-1971.07	173205.08	-1964.19	-341485.35	337556.97
ACOAD1f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD2f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACCOAC	-505.55	200000.00	-510.71	-392569.51	391548.09
2AGPEAT120	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ACCOAL	-1092.36	223606.80	-1088.92	-439417.05	437239.20
ACGAL1PPpp	-854.83	141421.36	-854.83	-278089.98	276340.54
ACGAL1Ptex	0.00	0.00	0.00	-19.60	19.60
ACGALtex	0.00	0.00	-0.00	-19.60	19.60
ACOAD3f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD4f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD5f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD6f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD7f	-39.22	141421.36	-39.22	-277264.28	277185.84
ACOAD8f	-39.22	141421.36	-39.22	-277264.28	277185.84
ADPT	-1971.07	173205.08	-1960.75	-341481.90	337560.41
ACOATA	0.00	200000.00	-0.00	-392039.20	392039.20
2AGPEAT140	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ACODA	237.53	173205.08	235.81	-339295.44	339727.28
ADSK	-0.00	200000.00	-5.16	-392044.36	392034.04
ADSL1r	0.00	173205.08	6.88	-339524.37	339498.35
ADSL2r	0.00	173205.08	6.88	-339524.37	339498.35
2AGPEAT141	-1971.07	223606.80	-1967.63	-440295.75	436360.50
ADSS	-1092.36	223606.80	-1100.96	-439429.09	437227.16
2AGPEAT160	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AGDC	237.53	173205.08	239.25	-339292.00	339730.72
2AGPEAT161	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AGM3PA	237.53	173205.08	239.25	-339292.00	339730.72
AGM3PApp	237.53	173205.08	239.25	-339292.00	339730.72
2AGPEAT180	-1971.07	223606.80	-1967.63	-440295.75	436360.50
2AGPEAT181	-1971.07	223606.80	-1967.63	-440295.75	436360.50
AGM3PH	237.53	173205.08	237.53	-339293.72	339729.00
AGM3Pt2pp	0.00	0.00	8.68	-10.92	28.28
AGM4PA	237.53	173205.08	239.25	-339292.00	339730.72
ACOLIPAtex	0.00	0.00	-0.00	-19.60	19.60
2AGPG120tipp	0.00	0.00	8.68	-10.92	28.28
ACONIs	0.00	141421.36	-0.00	-277205.46	277205.46
ACONMT	0.00	200000.00	5.16	-392034.04	392044.36
ACONTa	-237.53	141421.36	-237.53	-277442.99	276967.93
ACONTb	237.53	141421.36	237.53	-276967.93	277442.99
ACOTA	0.00	200000.00	1.72	-392037.48	392040.92
AGM4PApp	237.53	173205.08	239.25	-339292.00	339730.72
AGM4PCP	237.53	173205.08	237.53	-339293.72	339729.00
AGM4PCPpp	237.53	173205.08	237.53	-339293.72	339729.00
AGM4PH	237.53	173205.08	237.53	-339293.72	339729.00
AGM4Pt2pp	0.00	0.00	8.68	-10.92	28.28
