testPath,category,declaration,noneNeeded
"test/verifiedTests/base/testBuildGrRules/testBuildGrRules.m",base,"(none needed)",yes
"test/verifiedTests/base/testCardOpt/testSparseLP.m",base,"prepareTest('needsLP', true)",no
"test/verifiedTests/base/testInstall/testAddKeyToKnownHosts.m",base,"(none needed)",yes
"test/verifiedTests/base/testInstall/testInitCobraToolboxAgentMode.m",base,"prepareTest('requiredSolvers', {'mosek'})",no
"test/verifiedTests/base/testIO/testConvertCNAModelToCbModel.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testConvertCobraToSBML.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testConvertModelToEX.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testIsValidJSON/testIsValidJSON.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testKEGG/testTransformModel2KEGG.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testReadWriteCbModel.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testSbmlTestModelToMat.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testGenerateFieldDescriptionFile.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testGetDatabaseMappings.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testGetDefaultCompartments.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testGetDefaultCompartmentSymbols.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testLoadIdentifiedModel.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testOutputHypergraph.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testOutputNetworkOmix.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testPlanariseModel.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testRestrictModelsToFields.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testUtilities/testWriteCytoscapeEdgeAttributeTable.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testWriteCbModel.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testWriteMinosProblem.m",base,"(none needed)",yes
"test/verifiedTests/base/testIO/testWriteSBML.m",base,"(none needed)",yes
"test/verifiedTests/base/testLifting/testLiftCouplingConstraints.m",base,"prepareTest('needsLP', true)",no
"test/verifiedTests/base/testLifting/testLiftModel.m",base,"prepareTest('needsLP', true)",no
"test/verifiedTests/base/testLifting/testReformulate.m",base,"(none needed)",yes
"test/verifiedTests/base/testMPS/testMPS.m",base,"(none needed)",yes
"test/verifiedTests/base/testOutputNetworkCytoscape/testOutputNetworkCytoscape.m",base,"(none needed)",yes
"test/verifiedTests/base/testParseCobraVarargin/testParseCobraVarargin.m",base,"(none needed)",yes
"test/verifiedTests/base/testRemoveGeneVersions/testRemoveGeneVersions.m",base,"(none needed)",yes
"test/verifiedTests/base/testSolvers/testChangeCobraSolver.m",base,"prepareTest('needsLP', true)",no
"test/verifiedTests/base/testSolvers/testDualRCostDefinition.m",base,"prepareTest('needsLP', true)",no
"test/verifiedTests/base/testSolvers/testVerifyCobraProblem.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testCalcGroupStats.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testCheckCobraModelUnique.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testColumnVector.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testGenerateSystemConfigReport.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testJaccardIndex.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testMergeModelFieldPositions.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testParseBoolean.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testPrintLabeledData.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testPrintMatrix.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testReadMixedData.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testReporterMets.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testSelMatrix.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testShowprogress.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testSplitString.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testTranslateList.m",base,"(none needed)",yes
"test/verifiedTests/base/testTools/testUnionCell.m",base,"(none needed)",yes
"test/verifiedTests/base/testXls2Model/testXls2Model.m",base,"(none needed)",yes
"test/verifiedTests/analysis/testCorrespondingRowsCols/testCorrespondingRowsCols.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testDeletionStudy/testDeletionStudy.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testDynamicFBA/testDynamicFBA.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testEnumerateOptimal/testenumOptimalSols.m",analysis,"prepareTest('needsLP', true, 'needsMILP', true)",no
"test/verifiedTests/analysis/testExploration/testFindMetsFromRxns.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testExploration/testFindRxnsFromGenes.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testExploration/testFindRxnsFromMets.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testExploration/testFindSubSystemsFromGenes.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testExploration/testGetModelSizes.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testExploration/testSearchModel.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testFBA/testFBA.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testFindBlockedReaction/testFindBlockedReaction.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testFindRxnsFromSubSystem/testFindRxnsFromSubSystem.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testGetModelSubSystems/testGetModelSubSystems.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testHillFormula/testHillFormula.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testIsReactionInSubSystem/testIsReactionInSubSystem.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testKLdistance/testKLDis.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testMDFBA/testMDFBA.m",analysis,"prepareTest('needsLP', true, 'needsMILP', true)",no
"test/verifiedTests/analysis/testMultiSpeciesModelling/testCoupleRxnList2Rxn.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testMultiSpeciesModelling/testCreateMultipleSpeciesModel.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testMultiSpeciesModelling/testJoinModelsPairwiseFromList.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testMultiSpeciesModelling/testSimulatePairwiseInteractions.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testMultiSpeciesModelling/testTranslateMetagenome2AGORA.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testpFBA/testpFBA.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testPrint/testPrintConstraints.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testPrint/testPrintFluxVector.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testPrint/testPrintGPRForRxns.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testPrint/testPrintRxnFormula.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testPrint/testPrintUptakeBound.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testPrint/testSurfNet.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testrFBA/testOptimizeRegModel.m",analysis,"prepareTest('needsLP', true, 'needsQP', true)",no
"test/verifiedTests/analysis/testrFBA/testSolveBooleanRegModel.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testRobustnessAnalysis/testRobustnessAnalysis.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testSampling/testGpSampler.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testSubspaces/testDetermineSignMatrix.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testSubspaces/testMinSpan.m",analysis,"prepareTest('requiredSolvers', {'gurobi'})",no
"test/verifiedTests/analysis/testSubspaces/testScaleSMatrix.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testSubspaces/testSubspaces.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testThermo/testAddLoopLawConstraints.m",analysis,"prepareTest('needsMILP', true)",no
"test/verifiedTests/analysis/testTopology/testConvertHypergraphToBipartiteGraph/testConvertHypergraph2BipartiteGraph.m",analysis,"(none needed)",yes
"test/verifiedTests/analysis/testTopology/testFindExtremePathway.m",analysis,"prepareTest('needsLP', true)",no
"test/verifiedTests/analysis/testTopology/testMatrixCoherence.m",analysis,"(none needed)",yes
"test/verifiedTests/reconstruction/testBuildRxnSubSystem/testBuildRxn2subSystem.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testComputeMetFormulae/testGetMolecularMass.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testConstraintModifications/testConstraintModifciation.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testCreateXMatrix.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testDetectDeadEnds/testDetectDeadEnds.m",reconstruction,"prepareTest('needsLP', true)",no
"test/verifiedTests/reconstruction/testElementalBalance/testElementalBalance.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testElementalComposition/testElementalComposition.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testFastLeakTest/testFastLeakTest.m",reconstruction,"prepareTest('needsLP', true)",no
"test/verifiedTests/reconstruction/testGapFind/testGapFind.m",reconstruction,"prepareTest('needsMILP', true)",no
"test/verifiedTests/reconstruction/testGPRLogic/testGPRLogic.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testGrowthExpMatch/testGrowthExpMatch.m",reconstruction,"prepareTest('needsLP', true, 'needsMILP', true)",no
"test/verifiedTests/reconstruction/testInChI/testInchi.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testLegacy/testModelManipulationOri.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testMassChargeBalance/testMassChargeBalance.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelBorgifier/testModelBorgifier.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelGeneration/testVerifyModel.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testBatchAddition.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testChangeObjective.m",reconstruction,"(none needed)",yes
"test/verifiedTests/reconstruction/testModelManipulation/testChangeRxnBounds.m",reconstruction,"(none needed)",yes
