met_id,abbreviation,chargedFormula,charge
1,10fthf5glu,C40H45N11O19,-6
2,10fthf6glu,C45H51N12O22,-7
3,10fthf7glu,C50H57N13O25,-8
4,10fthf,C20H21N7O7,-2
5,11docrtsl,C21H30O4,0
6,11docrtstrn,C21H30O3,0
7,13dampp,C3H12N2,2
8,h2o,H2O,0
9,o2,O2,0
10,bamppald,C3H8NO,1
11,h2o2,H2O2,0
12,nh4,H4N,1
13,2425dhvitd2,C28H44O3,0
14,h,H,1
15,nadph,C21H26N7O17P3,-4
16,1a2425thvitd2,C28H44O4,0
17,nadp,C21H25N7O17P3,-3
18,2425dhvitd3,C27H44O3,0
19,1a2425thvitd3,C27H44O4,0
20,1a25dhvitd2,C28H44O3,0
21,1a25dhvitd3,C27H44O3,0
22,1mncam,C7H9N2O,1
23,atp,C10H12N5O13P3,-4
24,adp,C10H12N5O10P2,-3
25,pi,HO4P,-2
26,1pipdn2c,C6H9NO2,0
27,nadh,C21H27N7O14P2,-2
28,Lpipecol,C6H11NO2,0
29,nad," 27th ed).""",
30,25hvitd2,C28H44O2,0
31,25hvitd3,C27H44O2,0
32,24nph,C6H5NO4,0
33,2amac,C3H5NO2,0
34,pyr,C3H3O3,-1
35,paps,C10H11N5O13P2S,-4
36,Lcyst,C3H6NO5S,-1
37,pap,C10H11N5O10P2,-4
38,L2aadp,C6H10NO4,-1
39,akg,C5H4O5,-2
40,2dr1p,C5H9O7P,-2
41,drib,C5H10O4,0
42,2hb, dihydrolipoyl dehydrogenase (E3) deficiency," and propionic acidemia. More recently it has been noted that elevated levels of alpha-hydroxybutyrate in the plasma is a good marker for early stage type II diabetes (PMID:19166731 ). It was concluded from studies done in the mid 1970's that an increased NADH2/NAD ratio was the most important factor for the production of 2-hydroxybutyric acid (PMID:168632 )."""
43,2obut,C4H5O3,-1
44,hco3,CHO3,-1
45,na1,,Na
46,2mcit,C7H7O7,-3
47,2oxoadp,C6H6O5,-2
48,coa,C21H32N7O16P3S,-4
49,co2,CO2,0
50,glutcoa,C26H37N7O19P3S,-5
51,34dhmald,C8H8O4,0
52,34dhoxpeg,C8H10O4,0
53,34dhpha,C8H7O4,-1
54,amet,C15H23N6O5S,1
55,ahcys,C14H20N6O5S,0
56,homoval,C9H9O4,-1
57,34dhphe,C9H11NO4,0
58,34dhpac,C8H8O3,0
59,34dhoxmand,C8H7O5,-1
60,34hpp,C9H7O4,-1
61,34hpl,C9H9O4,-1
62,hgentis,C8H7O4,-1
63,35cgmp,C10H11N5O7P,-1
64,3aib,C4H9NO2,0
65,2mop,C4H5O3,-1
66,glu_L,C5H8NO4,-1
67,3dphb,C57H85O3,-1
68,3dpdhb,C57H85O4,-1
69,3dsphgn,C18H38NO2,1
70,sphgn,C18H40NO2,1
71,3hanthrn,C7H7NO3,0
72,cmusa,C7H6NO5,-1
73,b2coa,C25H36N7O17P3S,-4
74,3hbcoa_R,C25H38N7O18P3S,-4
75,3hibutcoa,C25H38N7O18P3S,-4
76,3hmp,C4H7O3,-1
77,hLkynr,C10H12N2O4,0
78,42A3HP24DB,C10H8NO5,-1
79,dopa,C8H12NO2,1
80,3hpcoa,C24H36N7O18P3S,-4
81,3hpp,C3H5O3,-1
82,msa,C3H3O3,-1
83,3hxkynam,C9H13N2O2,1
84,48dhoxquin,C9H7NO2,0
85,3mox4hpac,C9H10O3,0
86,3mlda,C6H7N2O2,-1
87,3mob,C5H7O3,-1
88,3mop,C6H9O3,-1
89,3m4hpga,C9H10O4,0
90,3mox4hoxm,C9H9O5,-1
91,3moxtyr,C9H14NO2,1
92,3amp,C10H12N5O7P,-2
93,adn,C10H13N5O4,0
94,3sala,C3H5NO4S,-2
95,asp_L,C4H6NO4,-1
96,hyptaur,C2H7NO2S,0
97,3snpyr,C3H2O5S,-2
98,so3, 8586770). Sulfite oxidase deficiency (as caused by MOCS1 or MOCS2) may be treated with cPMP, a precursor of the molybdenum cofactor (PMID: 20385644).  The mechanism behind sulfite neurotoxicity appears to be related to its ability to bind and inhibit glutamate dehydrogenase (GDH). Inhibition of GDH leads to a decrease in alpha-ketoglutarate and a diminished flux through the tricarboxylic acid cycle. This is accompanied by a decrease in NADH through the mitochondrial electron transport chain
