AACOAT	atp[c] + coa[c] + acac[c] 	->	aacoa[c] + amp[c] + ppi[c] 
ABUTD	h2o[c] + nad[c] + 4abutn[c] 	->	2.000000 h[c] + nadh[c] + 4abut[c] 
ACCOAC	atp[c] + hco3[c] + accoa[c] 	->	adp[c] + h[c] + pi[c] + malcoa[c] 
ACCOAL	atp[c] + coa[c] + ppa[c] 	->	adp[c] + pi[c] + ppcoa[c] 
ACGAMK	atp[c] + acgam[c] 	->	adp[c] + h[c] + acgam6p[c] 
ACHVESSEC	h2o[c] + atp[c] + ach[c] 	->	adp[c] + h[c] + pi[c] + ach[e] 
ACITL	atp[c] + coa[c] + cit[c] 	->	adp[c] + pi[c] + accoa[c] + oaa[c] 
ACNAMlt	h[c] + acnam[c] 	<=>	h[l] + acnam[l] 
ACNMLr	acnam[c] 	<=>	pyr[c] + acmana[c] 
ACS	atp[c] + coa[c] + ac[c] 	->	amp[c] + ppi[c] + accoa[c] 
ACS2	atp[c] + coa[c] + ppa[c] 	->	amp[c] + ppi[c] + ppcoa[c] 
ACSm	coa[m] + atp[m] + ac[m] 	->	accoa[m] + amp[m] + ppi[m] 
ACTNMO	o2[c] + h[c] + nadph[c] + acetone[c] 	->	h2o[c] + nadp[c] + acetol[c] 
ADNK1	atp[c] + adn[c] 	->	adp[c] + h[c] + amp[c] 
ADNK1m	atp[m] + adn[m] 	->	h[m] + adp[m] + amp[m] 
ADPRDP	h2o[c] + adprib[c] 	->	2.000000 h[c] + amp[c] + r5p[c] 
ADPtx	adp[c] 	<=>	adp[x] 
ADSK	atp[c] + aps[c] 	->	adp[c] + h[c] + paps[c] 
ADSS	asp_L[c] + gtp[c] + imp[c] 	->	2.000000 h[c] + pi[c] + gdp[c] + dcamp[c] 
AKGDm	akg[m] + coa[m] + nad[m] 	->	co2[m] + nadh[m] + succoa[m] 
ALAt2rL	h[l] + ala_L[l] 	<=>	h[c] + ala_L[c] 
ALKP	h2o[c] + dhap[c] 	->	pi[c] + dha[c] 
AMCOXO	h2o[c] + h[c] + nadph[c] + amuco[c] 	->	nh4[c] + nadp[c] + 2oxoadp[c] 
AMETr	amet[c] 	<=>	amet[r] 
AOBUTDsm	h[m] + 2aobut[m] 	->	co2[m] + aact[m] 
APOC_LYS_BTNP	h2o[c] + apoC_Lys_btn[c] 	->	apoC[c] + biocyt[c] 
ARGSS	atp[c] + asp_L[c] + citr_L[c] 	->	h[c] + amp[c] + ppi[c] + argsuc[c] 
R_group_phosphotase_1	atp[c] + coa[c] + Rtotal[c] 	->	amp[c] + ppi[c] + Rtotalcoa[c] 
R_group_phosphotase_2	atp[c] + coa[c] + Rtotal2[c] 	->	amp[c] + ppi[c] + Rtotal2coa[c] 
R_group_phosphotase_3	atp[c] + coa[c] + Rtotal3[c] 	->	amp[c] + ppi[c] + Rtotal3coa[c] 
ARTFR13	tdcoa[c] 	->	0.875000 R1coa_hs[c] 
