PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
12aHSDH	12aHSDHe	12-alpha hydroxysteroid dehydrogenase, NAD+ dependent, cholate specific	cholate[e] + nad[e] <=> 12dhchol[e] + nadh[e] + h[e]
3aHSDH	CA3aHSDHe	3-alpha hydroxysteroid dehydrogenase, NAD+ dependent, cholate specific	cholate[e] + nad[e] <=> 3dhchol[e] + nadh[e] + h[e]
3aHSDH	CDCA3aHSDHe	3-alpha hydroxysteroid dehydrogenase, NAD+ dependent, chenodeoxycholate specific	C02528[e] + nad[e] <=> 3dhcdchol[e] + nadh[e] + h[e]
3bHSDH	ICA3bHSDHe	3-beta hydroxysteroid dehydrogenase, NAD+ dependent, isocholate specific	isochol[e] + nad[e] <=> 3dhchol[e] + nadh[e] + h[e]
3bHSDH	ICDCA3bHSDHe	3-beta hydroxysteroid dehydrogenase, NAD+ dependent, isochenodeoxycholate specific	icdchol[e] + nad[e] <=> 3dhcdchol[e] + nadh[e] + h[e]
7aHSDH	7AHSDH	7-alpha hydroxysteroid dehydrogenase, NAD+ dependent, cholate specific	cholate[c] + nad[c] <=> 7ocholate[c] + nadh[c] + h[c]
7aHSDH	7AHSDHe	7-alpha hydroxysteroid dehydrogenase, NAD+ dependent, cholate specific	cholate[e] + nad[e] <=> 7ocholate[e] + nadh[e] + h[e]
7aHSDH	CDCA7aHSDHe	7-alpha hydroxysteroid dehydrogenase, NAD+ dependent, chenodeoxycholate specific	C02528[e] + nad[e] <=> 7dhcdchol[e] + nadh[e] + h[e]
7bHSDH	UCA7bHSDHe	7-beta hydroxysteroid dehydrogenase, NAD+ dependent, ursocholate specific	uchol[e] + nad[e] <=> 7ocholate[e] + nadh[e] + h[e]
7bHSDH	UDCA7bHSDHe	7-beta hydroxysteroid dehydrogenase, NAD+ dependent, ursodiol specific	HC02194[e] + nad[e] <=> 7dhcdchol[e] + nadh[e] + h[e]
AceA	ICL	Isocitrate lyase       	icit[c] -> glx[c] + succ[c]
AcoH	ACONT	aconitase	cit[c] <=> icit[c]
Adk	ADK1	adenylate kinase	atp[c] + amp[c] <=> 2 adp[c]
Adk	ADK10	adenylate kinase (dTTP)	dttp[c] + amp[c] <=> adp[c] + dtdp[c]
