"ENTREZ_ID","scramble","siRRM1","siRRM2"
"100",1,1,1
"10005",0,0,0
"10007",1,1,1
"10020",0,1,0
"10026",0,0,0
"10050",-1,-1,-1
"10057",0,0,0
"10087",0,0,0
"10090",-1,-1,-1
"10157",-1,-1,-1
"10164",-1,-1,-1
"10165",0,0,0
"10166",0,0,0
"10195",1,1,1
"10201",0,0,0
"10229",0,0,0
"10246",-1,-1,-1
"10257",0,0,0
"10312",0,0,0
"10317",-1,-1,-1
"10327",0,0,0
"10331",0,0,0
"1036",-1,-1,-1
"10380",0,0,0
"10390",0,0,0
"10396",0,0,0
"1040",-1,-1,-1
"10400",0,0,0
"10402",1,1,1
"10423",1,1,1
"10476",0,0,0
"10554",0,0,0
"10555",0,0,0
"10558",1,0,0
"10559",0,1,0
"10560",0,0,0
"10568",-1,-1,-1
"10587",0,0,0
"10588",0,0,0
"10599",-1,-1,-1
"10606",1,1,1
"10610",-1,-1,-1
"10632",1,1,1
"10654",1,1,1
"10678",0,0,0
"10682",1,1,1
"10690",-1,-1,-1
"107",0,0,0
"10723",0,1,0
"10768",1,1,0
"10786",-1,-1,-1
"10797",1,1,1
"108",-1,-1,-1
"10840",0,0,0
"10841",0,0,0
"10846",-1,-1,-1
"10858",-1,-1,-1
"10861",0,-1,-1
"10870",0,0,0
"10873",0,0,0
"109",0,0,0
"10905",0,0,0
"10919",0,0,0
"10935",1,1,1
"10948",0,0,0
"10965",0,0,0
"10975",1,1,1
"10991",-1,0,-1
"10993",0,0,0
"10998",0,0,0
"10999",0,0,0
"11000",0,0,0
"11001",-1,-1,-1
"1103",0,0,0
"11041",0,0,0
"11046",-1,-1,-1
"1109",-1,-1,-1
"111",0,0,0
"11112",0,0,0
"11136",-1,-1,-1
"11164",0,0,0
"1118",-1,-1,-1
"11181",-1,-1,-1
"11182",0,0,0
"11185",0,0,0
"1119",0,0,0
"112",0,0,0
"1120",0,0,0
"11212",0,0,0
"11226",-1,-1,-1
"11227",0,0,0
"11238",0,0,0
"112483",0,0,0
"11253",0,0,0
"11254",-1,-1,-1
"112611",0,0,0
"112724",0,0,0
"11282",0,0,0
"11283",-1,-1,-1
"11285",0,0,0
"113",0,0,0
"113026",0,0,0
"11309",-1,-1,-1
"113189",0,0,0
"11320",-1,-1,-1
"113235",0,0,0
"11343",0,0,0
"113451",0,0,0
"113452",0,0,0
"114",-1,-1,-1
"114112",0,0,0
"114134",0,0,0
"114805",0,0,0
"115",0,0,0
"115019",0,0,0
"115111",0,0,0
"1152",0,0,0
"115286",0,0,0
"115584",0,0,0
"1158",-1,-1,-1
"1159",0,0,0
"1160",-1,-1,-1
"116255",0,0,0
"116285",-1,-1,-1
"116369",0,0,0
"117247",0,0,0
"117248",0,0,0
"117283",0,0,0
"1178",-1,-1,-1
"118881",0,0,0
"121278",0,0,0
"122481",0,0,0
"122622",0,0,0
"123041",0,0,0
"124",-1,-1,-1
"124583",0,0,0
"124637",0,0,0
"124935",0,0,0
"125",-1,-1,-1
"125206",0,0,0
"125965",0,0,0
"126",-1,-1,-1
"126129",0,0,0
"126328",0,0,0
"126792",0,0,0
"127",0,0,0
"127124",0,0,0
"128",1,1,1
"128869",0,0,0
"129807",0,0,0
"13",-1,-1,-1
"130",-1,-1,-1
"130013",0,0,0
"130752",0,0,0
"131",-1,-1,-1
"1312",0,0,0
"131669",0,0,0
"132",0,0,0
"1327",1,1,1
"132789",0,0,0
"1329",1,1,1
"1337",0,0,0
"1339",-1,-1,-1
"1340",1,1,1
"1345",1,1,1
"134526",0,0,0
"1346",-1,-1,-1
"1347",1,1,1
"1349",1,1,1
"1350",1,1,1
"1351",1,1,1
"135152",0,0,0
"1371",1,1,1
"1373",-1,-1,-1
"1374",0,0,0
"1375",0,0,0
"1376",0,0,0
"137872",0,0,0
"137964",0,0,0
"1384",0,0,0
"140679",0,0,0
"142680",0,0,0
"1431",0,0,0
"144195",0,0,0
"145226",0,0,0
"1468",0,0,0
"1491",0,0,0
"15",-1,-1,-1
"1503",1,1,1
"151531",0,0,0
"1537",1,1,1
"154091",0,0,0
"1543",-1,0,-1
"1544",0,0,0
"1545",-1,-1,-1
"1548",0,0,0
"1551",-1,-1,-1
"155184",0,0,0
"1553",-1,0,0
"1557",-1,-1,-1
"1558",-1,-1,-1
"1559",-1,-1,-1
"1562",-1,-1,-1
"1565",0,0,0
"1571",-1,-1,-1
"1572",0,0,0
"157506",0,0,0
"1576",0,0,0
"1577",-1,-1,-1
"1579",-1,-1,-1
"158",1,1,1
"1581",-1,-1,-1
"1582",0,0,0
"1583",-1,-1,-1
"1584",-1,-1,-1
"1585",0,0,0
"1586",0,0,0
"1588",-1,0,-1
"1589",0,0,0
"159",1,1,1
"1591",-1,-1,-1
"1593",0,0,0
"1594",0,0,0
"1595",1,1,1
"159963",-1,-1,-1
"160287",0,0,0
"1603",1,1,1
"1606",-1,-1,-1
"1607",-1,-1,-1
"160728",0,0,0
"1608",0,0,0
"160851",0,0,0
"1609",0,0,0
"1610",0,0,-1
"1621",0,0,0
"162417",0,0,0
"162466",0,0,0
"1629",0,0,0
"1632",1,1,1
"1633",1,1,1
"1635",0,0,0
"1638",-1,-1,-1
"1644",-1,-1,-1
"1645",-1,0,-1
"1650",1,1,1
"166012",0,0,0
"166785",0,0,0
"170712",0,0,0
"171425",0,0,0
"1716",0,0,0
"1717",0,0,0
"1718",0,0,0
"1719",0,0,0
"1723",0,0,0
"1737",1,1,1
"1738",1,1,1
"1743",1,1,1
"175",0,0,0
"1757",0,-1,-1
"178",0,0,0
"1786",1,1,1
"1787",0,0,0
"1788",0,0,0
"1789",0,0,0
"1798",1,1,1
"18",-1,-1,-1
"1806",0,0,0
"1807",-1,-1,-1
"1808",1,1,1
"1809",0,0,0
"1811",-1,-1,-1
"1836",1,1,1
"1841",0,0,0
"1854",1,1,1
"189",-1,-1,-1
"1890",0,1,0
"1891",1,1,1
"1892",1,1,1
"19",0,0,0
"191",1,1,1
"192134",0,0,0
"195814",0,0,0
"1962",-1,-1,-1
"196883",0,0,0
"197257",0,0,0
"197258",0,0,0
"200010",0,0,0
"200576",0,0,0
"2023",1,1,1
"2026",0,0,0
"2027",0,0,0
"203",0,0,0
"2030",0,0,0
"204",0,0,0
"205",0,0,0
"206358",0,0,0
"2098",1,1,1
"210",0,0,0
"2108",1,1,1
"2109",1,1,1
"211",1,1,1
"2110",0,0,0
"212",0,0,0
"2131",0,0,0
"2132",0,0,0
"2134",0,0,0
"2135",0,0,0
"2137",0,0,0
"216",-1,-1,-1
"217",0,0,0
"218",-1,-1,-1
"2180",0,0,0
"2181",0,0,0
"2182",0,0,0
"2184",0,0,0
"219",0,0,0
"2194",0,0,0
"220",-1,-1,-1
"2203",0,0,0
"221",-1,0,-1
"221823",-1,-1,-1
"222",-1,-1,-1
"2222",1,1,1
"2224",1,1,1
"222537",0,0,0
"223",1,1,1
"22305",0,0,0
"2235",0,0,0
"224",0,0,0
"226",1,1,1
"2271",1,1,1
"22856",1,1,1
"229",-1,-1,-1
"22928",1,1,1
"22929",0,0,0
"22934",0,0,0
"22978",0,0,0
"230",0,0,0
"23007",-1,-1,-1
"23057",-1,-1,-1
"231",1,1,1
