http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=07LIN/ALG_1584	07LIN/ALG	spectrophotometry	A	1.1.1.87	homoisocitrate dehydrogenase	C05662 + C00003 = C00322 + C00288 + C00004	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate(aq) + NAD(ox) = 2-oxoadipate(aq) + carbon dioxide(aq) + NAD(red)		0.45	298.15		7.5	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=63GRE_1058	63GRE	spectrophotometry	C	3.5.4.9	methenyltetrahydrofolate cyclohydrolase	C00445 + C00001 = C00234	5,10-methenyltetrahydrofolate(aq) + H2O(l) = 10-formyltetrahydrofolate(aq)		4.2	298.15		6.5	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		18	310.15		7.3	2.96
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		25	310.15		7.3	2.8
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		33	310.15		7.3	2.3
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		11	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		25	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		26	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		30	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		35	310.15		7.3	2.68
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		14	310.15		7.3	3.19
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		15	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		19	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		28	310.15		7.3	1.3
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		7.5	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		17	310.15		7.3	
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=67ENG/DEN_1165	67ENG/DEN	spectrophotometry	B	4.2.1.3	aconitate hydratase	C00311 = C00158	isocitrate(aq) = citrate(aq)		35	310.15		7.3	2.51
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		203	303.15		6.02	1.96
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		430	303.15		6	2.6
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		300	303.15		6.01	2.31
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		230	303.15		5.94	2.66
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		277	303.15		6.12	2.69
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		154	303.15		6.04	0.92
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		205	303.15		6.03	0.75
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		1310	303.15		7	0.81
http://xpdb.nist.gov/enzyme_thermodynamics/enzyme_data1.pl?col=1.&T1=57ROB/BOY_544	57ROB/BOY	radioactivity	A	2.7.1.1	hexokinase	C00002 + C00031 = C00008 + C00092	ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq)		139	303.15		5.99	0.83
