name	cid	inchi
oxidized Methyl viologen	225	InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2
Monodehydro-L-ascorbate	1041	InChI=1S/C6H7O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10H,1H2/t2-,5+/m0/s1
D-Erythrulose	2022	InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h3,5-7H,1-2H2/t3-/m1/s1
L-Erythrulose	2045	InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h3,5-7H,1-2H2/t3-/m0/s1
3-(3,4-Dihydroxypyridin-1-yl)-L-alanine	4446	InChI=1S/C8H10N2O4/c9-5(8(13)14)3-10-2-1-6(11)7(12)4-10/h1-2,4-5,12H,3,9H2,(H,13,14)/p+1
ADP-D-glycero-D-manno-heptose	6397	InChI=1S/C17H27N5O16P2/c18-14-7-15(20-3-19-14)22(4-21-7)16-11(28)8(25)6(35-16)2-34-39(30,31)38-40(32,33)37-17-12(29)9(26)10(27)13(36-17)5(24)1-23/h3-6,8-13,16-17,23-29H,1-2H2,(H,30,31)(H,32,33)(H2,18,19,20)/t5-,6-,8-,9+,10+,11-,12+,13-,16-,17?/m1/s1
ADP-L-glycero-D-manno-heptose	6398	InChI=1S/C17H27N5O16P2/c18-14-7-15(20-3-19-14)22(4-21-7)16-11(28)8(25)6(35-16)2-34-39(30,31)38-40(32,33)37-17-12(29)9(26)10(27)13(36-17)5(24)1-23/h3-6,8-13,16-17,23-29H,1-2H2,(H,30,31)(H,32,33)(H2,18,19,20)/t5-,6+,8+,9-,10-,11+,12-,13+,16+,17?/m0/s1
1-Methyl-L-histidine	80001	InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/p+1/t6-/m0/s1
Monochlorobenzene	80002	InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H
1,2-Dichlorobenzene	80003	InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H
1,3-Dichlorobenzene	80004	InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H
1,4-Dichlorobenzene	80005	InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H
1,2,3-Trichlorobenzene	80006	InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H
1,2,4-Trichlorobenzene	80007	InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H
1,3,5-Trichlorobenzene	80008	InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H
